term,definition,source_glossary,math_area,scope,extraction_method,section,term_wikilink,is_stub,has_math,has_disambiguation,line_number,definition_wikilinks_count
Kodaira dimension,The Kodaira dimension (also called the Iitaka dimension) of a semi-ample line bundle L is the dimension of Proj of the section ring of L.,Glossary of algebraic geometry,geometry_topology,primary,template,K,,False,False,False,536,2
Kodaira vanishing theorem,See the Kodaira vanishing theorem.,Glossary of algebraic geometry,geometry_topology,primary,template,K,,True,False,False,540,1
Kuranishi map,See Kuranishi structure.,Glossary of algebraic geometry,geometry_topology,primary,template,K,,True,False,False,543,1
Lelong number,See Lelong number.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,True,False,False,551,1
level structure,see http://math.stanford.edu/~conrad/248BPage/handouts/level.pdf,Glossary of algebraic geometry,geometry_topology,primary,template,L,,True,False,False,554,0
linearization,Another term for the structure of an equivariant sheaf/vector bundle.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,False,False,557,1
local,"Most important properties of schemes are local in nature, i.e. a scheme X has a certain property P if and only if for any cover of X by open subschemes Xi, i.e. X=$\cup$ Xi, every Xi has the property P. It is usually the case that it is enough to check one cover, not all possible ones. One also says that a certain property is Zariski-local, if one needs to distinguish between the Zariski topology and other possible topologies, like the étale topology. Consider a scheme X and a cover by affine open subschemes Spec Ai. Using the dictionary between (commutative) rings and affine schemes local properties are thus properties of the rings Ai. A property P is local in the above sense, iff the corresponding property of rings is stable under localization. For example, we can speak of locally Noetherian schemes, namely those which are covered by the spectra of Noetherian rings. The fact that localizations of a Noetherian ring are still noetherian then means that the property of a scheme of being locally Noetherian is local in the above sense (whence the name). Another example: if a ring is reduced (i.e., has no non-zero nilpotent elements), then so are its localizations. An example for a non-local property is separatedness (see below for the definition). Any affine scheme is separated, therefore any scheme is locally separated. However, the affine pieces may glue together pathologically to yield a non-separated scheme. The following is a (non-exhaustive) list of local properties of rings, which are applied to schemes. Let X = $\cup$ Spec Ai be a covering of a scheme by open affine subschemes. For definiteness, let k denote a field in the following. Most of the examples also work with the integers Z as a base, though, or even more general bases. Connected, irreducible, reduced, integral, normal, regular, Cohen-Macaulay, locally noetherian, dimension, catenary, Gorenstein.",Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,True,False,560,10
local complete intersection,The local rings are complete intersection rings. See also: regular embedding.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,False,False,584,2
local uniformization,The local uniformization is a method of constructing a weaker form of resolution of singularities by means of valuation rings.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,False,False,587,3
locally factorial,The local rings are unique factorization domains.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,False,False,590,1
locally of finite presentation,Cf. finite presentation above.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,False,False,593,1
locally of finite type,The morphism is locally of finite type if $ X $ may be covered by affine open sets $ \text{Spec }B $ such that each inverse image $f^{-1}(\text{Spec }B)$ is covered by affine open sets $\text{Spec }A$ where each $ A $ is finitely generated as a $B$-algebra.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,True,False,598,0
locally Noetherian,"A scheme X covered by Spec Ai, where the Ai are Noetherian rings. If in addition a finite number of such affine spectra covers X, the scheme is called noetherian. While it is true that the spectrum of a noetherian ring is a noetherian topological space, the converse is false. For example, most schemes in finite-dimensional algebraic geometry are locally Noetherian, but $GL_\infty = \cup GL_n$ is not.",Glossary of algebraic geometry,geometry_topology,primary,template,L,,False,True,False,603,3
logarithmic geometry,See log structure. The notion is due to Fontaine-Illusie and Kato.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,True,False,False,610,1
log structure,See log structure. The notion is due to Fontaine-Illusie and Kato.,Glossary of algebraic geometry,geometry_topology,primary,template,L,,True,False,False,612,1
loop group,See loop group (the linked article does not discuss a loop group in algebraic geometry; for now see also ind-scheme).,Glossary of algebraic geometry,geometry_topology,primary,template,L,,True,False,False,615,2
moduli,See for example moduli space.,Glossary of algebraic geometry,geometry_topology,primary,template,M,,True,False,False,623,1
Mori's minimal model program,The minimal model program is a research program aiming to do birational classification of algebraic varieties of dimension greater than 2.,Glossary of algebraic geometry,geometry_topology,primary,template,M,,False,False,False,630,3
morphism,A morphism of algebraic varieties is given locally by polynomials.,Glossary of algebraic geometry,geometry_topology,primary,template,M,,False,False,False,633,1
nef,See nef line bundle.,Glossary of algebraic geometry,geometry_topology,primary,template,N,,True,False,False,643,1
nonsingular,"An archaic term for ""smooth"" as in a smooth variety.",Glossary of algebraic geometry,geometry_topology,primary,template,N,,False,False,False,646,1
normal,"An integral scheme is called normal, if the local rings are integrally closed domains. For example, all regular schemes are normal, while singular curves are not.",Glossary of algebraic geometry,geometry_topology,primary,template,N,,False,False,False,649,2
normal crossings,"Abbreviations nc for normal crossing and snc for simple normal crossing. Refers to several closely related notions such as nc divisor, nc singularity, snc divisor, and snc singularity. See normal crossings.",Glossary of algebraic geometry,geometry_topology,primary,template,N,,False,False,False,659,1
normally generated,"A line bundle L on a variety X is said to be normally generated if, for each integer n > 0, the natural map $\Gamma(X, L)^{\otimes n} \to \Gamma(X, L^{\otimes n})$ is surjective.",Glossary of algebraic geometry,geometry_topology,primary,template,N,,False,True,False,662,1
open,"A morphism of schemes is called open (closed), if the underlying map of topological spaces is open (closed, respectively), i.e. if open subschemes of Y are mapped to open subschemes of X (and similarly for closed). For example, finitely presented flat morphisms are open and proper maps are closed.",Glossary of algebraic geometry,geometry_topology,primary,template,O,,False,False,False,668,1
orbifold,Nowadays an orbifold is often defined as a Deligne–Mumford stack over the category of differentiable manifolds.,Glossary of algebraic geometry,geometry_topology,primary,template,O,,False,False,False,674,2
p-divisible group,See p-divisible group (roughly an analog of torsion points of an abelian variety).,Glossary of algebraic geometry,geometry_topology,primary,template,P,,True,False,False,681,1
pencil,A linear system of dimension one.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,684,0
Picard group,"The Picard group of X is the group of the isomorphism classes of line bundles on X, the multiplication being the tensor product.",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,687,2
Plücker embedding,The Plücker embedding is the closed embedding of the Grassmannian variety into a projective space.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,690,3
plurigenus,"The n-th plurigenus of a smooth projective variety is $\dim \Gamma(X, \omega_X^{\otimes n})$. See also Hodge number.",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,True,False,693,2
Poincaré residue map,See Poincaré residue.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,True,False,False,696,1
point,"A scheme $ S $ is a locally ringed space, so a fortiori a topological space, but the meanings of point of $ S $ are threefold: #a point $ P $ of the underlying topological space; #a $ T $-valued point of $S$ is a morphism from $ T $ to $ S $, for any scheme $ T $; #a geometric point, where $ S $ is defined over (is equipped with a morphism to) $ \textrm{Spec}(K) $, where $ K $ is a field, is a morphism from $ \textrm{Spec} (\overline{K}) $ to $ S $ where $ \overline{K} $ is an algebraic closure of $K$. Geometric points are what in the most classical cases, for example algebraic varieties that are complex manifolds, would be the ordinary-sense points. The points $ P $ of the underlying space include analogues of the generic points (in the sense of Zariski, not that of André Weil), which specialise to ordinary-sense points. The $ T $-valued points are thought of, via Yoneda's lemma, as a way of identifying $ S $ with the representable functor $ h_{S} $ it sets up. Historically there was a process by which projective geometry added more points (e.g. complex points, line at infinity) to simplify the geometry by refining the basic objects. The $ T $-valued points were a massive further step. As part of the predominating Grothendieck approach, there are three corresponding notions of fiber of a morphism: the first being the simple inverse image of a point. The other two are formed by creating fiber products of two morphisms. For example, a geometric fiber of a morphism $ S^{\prime} \to S $ is thought of as $ S^{\prime} \times_{S} \textrm{Spec}(\overline{K}) $. This makes the extension from affine schemes, where it is just the tensor product of R-algebras, to all schemes of the fiber product operation a significant (if technically anodyne) result.",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,True,False,699,18
polarization,an embedding into a projective space,Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,713,0
Proj,See Proj construction.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,True,False,False,716,1
projection formula,"The projection formula says that, for a morphism $f:X \to Y$ of schemes, an $ \mathcal{O}_X$-module $\mathcal{F}$ and a locally free $\mathcal{O}_Y$-module $\mathcal{E}$ of finite rank, there is a natural isomorphism $f_* (F \otimes f^* E) = (f_* F) \otimes E$ (in short, $f_*$ is linear with respect to the action of locally free sheaves.)",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,True,False,719,2
projective,A projective variety is a closed subvariety of a projective space.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,725,1
projective bundle,"If E is a locally free sheaf on a scheme X, the projective bundle P(E) of E is the global Proj of the symmetric algebra of the dual of E: $\mathbf{P}(E) = \mathbf{Proj}(\operatorname{Sym}_{\mathcal{O}_X}(E^{\vee})).$ Note this definition is standard nowadays (e.g., Fulton's Intersection theory) but differs from EGA and Hartshorne (they don't take a dual).",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,True,False,731,2
projectively normal,See #normal.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,True,False,False,736,1
proper,"A morphism is proper if it is separated, universally closed (i.e. such that fiber products with it are closed maps), and of finite type. Projective morphisms are proper; but the converse is not in general true. See also complete variety. A deep property of proper morphisms is the existence of a Stein factorization, namely the existence of an intermediate scheme such that a morphism can be expressed as one with connected fibres, followed by a finite morphism.",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,739,3
property P,"Let P be a property of a scheme that is stable under base change (finite-type, proper, smooth, étale, etc.). Then a representable morphism $f: F \to G$ is said to have property P if, for any $B \to G$ with B a scheme, the base change $F \times_G B \to B$ has property P.",Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,True,False,744,0
pseudo-reductive,Pseudoreductive generalizes reductive in the context of connected smooth linear algebraic group.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,747,5
pure dimension,A scheme has pure dimension d if each irreducible component has dimension d.,Glossary of algebraic geometry,geometry_topology,primary,template,P,,False,False,False,750,0
quasi-coherent,A quasi-coherent sheaf on a Noetherian scheme X is a sheaf of OX-modules that is locally given by modules.,Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,False,False,757,1
quasi-compact,"A morphism is called quasi-compact, if for some (equivalently: every) open affine cover of X by some Ui = Spec Bi, the preimages f−1(Ui) are quasi-compact.",Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,False,False,761,2
quasi-finite,The morphism has finite fibers if the fiber over each point $ x \in X $ is a finite set. A morphism is quasi-finite if it is of finite type and has finite fibers.,Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,True,False,766,1
quasi-projective,A quasi-projective variety is a locally closed subvariety of a projective space.,Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,False,False,771,2
quasi-separated,A morphism is called quasi-separated or (Y is quasi-separated over X) if the diagonal morphism is quasi-compact. A scheme Y is called quasi-separated if Y is quasi-separated over Spec(Z).,Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,False,False,774,1
quasi-split,"A reductive group $G$ defined over a field $k$ is quasi-split if and only if it admits a Borel subgroup $B\subseteq G$ defined over $k$. Any quasi-split reductive group is a split-reductive reductive group, but there are quasi-split reductive groups that are not split-reductive.",Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,True,False,779,2
Quot scheme,A Quot scheme parametrizes quotients of locally free sheaves on a projective scheme.,Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,False,False,782,1
quotient stack,"Usually denoted by [X/G], a quotient stack generalizes a quotient of a scheme or variety.",Glossary of algebraic geometry,geometry_topology,primary,template,Q,,False,False,False,785,1
rational,"Over an algebraically closed field, a variety is rational if it is birational to a projective space. For example, rational curves and rational surfaces are those birational to $\mathbb{P}^1, \mathbb{P}^2$.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,793,3
rational function,An element in the function field $k(X) = \varinjlim k[U]$ where the limit runs over all coordinates rings of open subsets U of an (irreducible) algebraic variety X. See also function field (scheme theory).,Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,797,2
rational normal curve,"A rational normal curve is the image of $\mathbf{P}^1 \to \mathbf{P}^d, \, (s:t) \mapsto (s^d : s^{d-1} t : \cdots : t^d)$. If d = 3, it is also called the twisted cubic.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,800,2
rational singularities,"A variety X over a field of characteristic zero has rational singularities if there is a resolution of singularities $f:X' \to X$ such that $f_*(\mathcal{O}_{X'}) = \mathcal{O}_X$ and $R^i f_*(\mathcal{O}_{X'}) = 0, \, i \ge 1$.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,805,1
reduced,"A commutative ring $R$ is reduced if it has no nonzero nilpotent elements, i.e., its nilradical is the zero ideal, $\sqrt{(0)} = (0)$. Equivalently, $R$ is reduced if $\operatorname{Spec}(R)$ is a reduced scheme.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,808,1
reductive,A connected linear algebraic group $G$ over a field $k$ is a reductive group if and only if the unipotent radical <math>R_u(G_{\overline{k,Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,812,3
reflexive sheaf,A coherent sheaf is reflexive if the canonical map to the second dual is an isomorphism.,Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,False,False,815,1
regular,"A regular scheme is a scheme where the local rings are regular local rings. For example, smooth varieties over a field are regular, while Spec k[x,y]/(x2+x3-y2)=50px is not.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,False,False,818,4
regular embedding,"A closed immersion $i: X \hookrightarrow Y$ is a regular embedding if each point of X has an affine neighborhood in Y so that the ideal of X there is generated by a regular sequence. If i is a regular embedding, then the conormal sheaf of i, that is, $\mathcal{I}/\mathcal{I}^2$ when $\mathcal{I}$ is the ideal sheaf of X, is locally free.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,823,4
regular function,A morphism from an algebraic variety to the affine line.,Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,False,False,826,2
representable morphism,"A morphism $F \to G$ of stacks such that, for any morphism $B \to G$ from a scheme B, the base change $F \times_G B$ is an algebraic space. If ""algebraic space"" is replaced by ""scheme"", then it is said to be strongly representable.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,829,0
resolution of singularities,A resolution of singularities of a scheme X is a proper birational morphism $\pi: Z \to X$ such that Z is smooth.,Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,832,3
Riemann–Hurwitz formula,"Given a finite separable morphism $\pi:X \to Y$ between smooth projective curves, if $\pi$ is tamely ramified (no wild ramification), for example, over a field of characteristic zero, then the Riemann–Hurwitz formula relates the degree of π, the genera of X, Y and the ramification indices: $2g(X) - 2 = \operatorname{deg}(\pi) (2g(Y) - 2) + \sum_{y \in Y} (e_y - 1)$. Nowadays, the formula is viewed as a consequence of the more general formula (which is valid even if π is not tame): $K_X \sim \pi^*K_Y + R$ where $\sim$ means a linear equivalence and $R = \sum_{P \in X} \operatorname{length}_{\mathcal{O}_P} (\Omega_{X/Y})P$ is the divisor of the relative cotangent sheaf $\Omega_{X/Y}$ (called the different).",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,835,5
Riemann–Roch formula,"If L is a line bundle of degree d on a smooth projective curve of genus g, then the Riemann–Roch formula computes the Euler characteristic of L: $\chi(L) = d - g + 1$. For example, the formula implies the degree of the canonical divisor K is 2g - 2.",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,842,2
rigid,"Every infinitesimal deformation is trivial. For example, the projective space is rigid since $\operatorname{H}^1(\mathbf{P}^n, T_{\mathbf{P}^n}) = 0$ (and using the Kodaira–Spencer map).",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,True,False,850,3
rigidify,"A heuristic term, roughly equivalent to ""killing automorphisms"". For example, one might say ""we introduce level structures resp. marked points to rigidify the geometric situation.""",Glossary of algebraic geometry,geometry_topology,primary,template,R,,False,False,False,853,2
scheme,A scheme is a locally ringed space that is locally a prime spectrum of a commutative ring.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,866,4
Schubert,"A Schubert cell is a B-orbit on the Grassmannian $\operatorname{Gr}(d, n)$ where B is the standard Borel; i.e., the group of upper triangular matrices.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,869,1
scroll,A rational normal scroll is a ruled surface which is of degree $n$ in a projective space $\mathbb{P}^{n+1}$ for some $n\in\mathbb{N}_{>1}$.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,873,4
secant variety,The secant variety to a projective variety $V \subset \mathbb{P}^r$ is the closure of the union of all secant lines to V in $\mathbb{P}^r$.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,876,1
section ring,"The section ring or the ring of sections of a line bundle L on a scheme X is the graded ring $\oplus_0^\infty \Gamma(X, L^n)$.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,879,1
Serre duality,See #dualizing sheaf,Glossary of algebraic geometry,geometry_topology,primary,template,S,,True,False,False,885,1
separated,"A separated morphism is a morphism $ f $ such that the fiber product of $ f $ with itself along $ f $ has its diagonal as a closed subscheme — in other words, the diagonal morphism is a closed immersion.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,888,5
sheaf generated by global sections,A sheaf with a set of global sections that span the stalk of the sheaf at every point. See Sheaf generated by global sections.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,891,1
simple,"The term ""simple point"" is an old term for a ""smooth point"".",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,894,0
smooth,"The higher-dimensional analog of étale morphisms are smooth morphisms. There are many different characterisations of smoothness. The following are equivalent definitions of smoothness of the morphism : # for any y ∈ Y, there are open affine neighborhoods V and U of y, x=f(y), respectively, such that the restriction of f to V factors as an étale morphism followed by the projection of affine n-space over U. # f is flat, locally of finite presentation, and for every geometric point $\bar{y}$ of Y (a morphism from the spectrum of an algebraically closed field $k(\bar{y})$ to Y), the geometric fiber <math>X_{\bar{y",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,899,1
special,"A divisor D on a smooth curve C is special if $h^0(\mathcal{O}(K - D))$, which is called the index of speciality, is positive.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,909,1
spherical variety,A spherical variety is a normal G-variety (G connected reductive) with an open dense orbit by a Borel subgroup of G.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,912,1
split,In the context of an algebraic group $G$ for certain properties $P$ there is the derived property split-$P$. Usually $P$ is a property that is automatic or more common over algebraically closed fields $\overline{k}$. If this property holds already for $G$ defined over a not necessarily algebraically closed field $k$ then $G$ is said to satisfy split-$P$.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,915,1
stable,"A stable curve is a curve with some ""mild"" singularity, used to construct a good-behaving moduli space of curves.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,926,2
stack,A stack parametrizes sets of points together with automorphisms.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,930,1
strict transform,"Given a blow-up $\pi: \widetilde{X} \to X$ along a closed subscheme Z and a morphism $f: Y \to X$, the strict transform of Y (also called proper transform) is the blow-up $\widetilde{Y} \to Y$ of Y along the closed subscheme $f^{-1} Z$. If f is a closed immersion, then the induced map $\widetilde{Y} \hookrightarrow \widetilde{X}$ is also a closed immersion.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,True,False,933,2
subscheme,"A subscheme, without qualifier, of X is a closed subscheme of an open subscheme of X.",Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,936,0
surface,An algebraic variety of dimension two.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,941,0
symmetric variety,An analog of a symmetric space. See symmetric variety.,Glossary of algebraic geometry,geometry_topology,primary,template,S,,False,False,False,944,2
tangent space,See Zariski tangent space.,Glossary of algebraic geometry,geometry_topology,primary,template,T,,True,False,False,952,1
tautological line bundle,"The tautological line bundle of a projective scheme X is the dual of Serre's twisting sheaf $\mathcal{O}_X(1)$; that is, $\mathcal{O}_X(-1)$.",Glossary of algebraic geometry,geometry_topology,primary,template,T,,False,True,False,955,2
theorem,"See Zariski's main theorem, theorem on formal functions, cohomology base change theorem, :Category:Theorems in algebraic geometry.",Glossary of algebraic geometry,geometry_topology,primary,template,T,,True,False,False,958,4
torus embedding,An old term for a toric variety,Glossary of algebraic geometry,geometry_topology,primary,template,T,,False,False,False,961,1
toric variety,A toric variety is a normal variety with the action of a torus such that the torus has an open dense orbit.,Glossary of algebraic geometry,geometry_topology,primary,template,T,,False,False,False,964,1
tropical geometry,A kind of a piecewise-linear algebraic geometry. See tropical geometry.,Glossary of algebraic geometry,geometry_topology,primary,template,T,,False,False,False,967,1
torus,A split torus is a product of finitely many multiplicative groups $\mathbb{G}_m$.,Glossary of algebraic geometry,geometry_topology,primary,template,T,,False,True,False,970,2
universal,"If a moduli functor F is represented by some scheme or algebraic space M, then a universal object is an element of F(M) that corresponds to the identity morphism M → M (which is an M-point of M). If the values of F are isomorphism classes of curves with extra structure, say, then a universal object is called a universal curve. A tautological bundle would be another example of a universal object.",Glossary of algebraic geometry,geometry_topology,primary,template,U,,False,False,False,978,4
universally,"A morphism has some property universally if all base changes of the morphism have this property. Examples include universally catenary, universally injective.",Glossary of algebraic geometry,geometry_topology,primary,template,U,,False,False,False,984,2
unramified,"For a point $ y $ in $ Y $, consider the corresponding morphism of local rings $f^\# \colon \mathcal{O}_{X, f(y)} \to \mathcal{O}_{Y, y}$. Let $ \mathfrak{m} $ be the maximal ideal of $ \mathcal{O}_{X,f(y)} $, and let $\mathfrak{n} = f^\#(\mathfrak{m}) \mathcal{O}_{Y,y}$ be the ideal generated by the image of $ \mathfrak{m} $ in $\mathcal{O}_{Y,y} $. The morphism $ f $ is unramified (resp. G-unramified) if it is locally of finite type (resp. locally of finite presentation) and if for all $ y $ in $ Y $, $ \mathfrak{n} $ is the maximal ideal of $ \mathcal{O}_{Y,y} $ and the induced map $\mathcal{O}_{X,f(y)}/\mathfrak{m} \to \mathcal{O}_{Y,y}/\mathfrak{n} $ is a finite separable field extension. This is the geometric version (and generalization) of an unramified field extension in algebraic number theory.",Glossary of algebraic geometry,geometry_topology,primary,template,U,,False,True,False,989,6
variety,"a synonym with ""algebraic variety"".",Glossary of algebraic geometry,geometry_topology,primary,template,V,,False,False,False,1007,0
very ample,A line bundle L on a variety X is very ample if X can be embedded into a projective space so that L is the restriction of Serre's twisting sheaf O(1) on the projective space.,Glossary of algebraic geometry,geometry_topology,primary,template,V,,False,False,False,1010,1
weakly normal,a scheme is weakly normal if any finite birational morphism to it is an isomorphism.,Glossary of algebraic geometry,geometry_topology,primary,template,W,,False,False,False,1018,0
Weil divisor,"Another but more standard term for a ""codimension-one cycle""; see divisor.",Glossary of algebraic geometry,geometry_topology,primary,template,W,,False,False,False,1021,1
Weil reciprocity,See Weil reciprocity.,Glossary of algebraic geometry,geometry_topology,primary,template,W,,True,False,False,1024,1
Zariski–Riemann space,A Zariski–Riemann space is a locally ringed space whose points are valuation rings.,Glossary of algebraic geometry,geometry_topology,primary,template,Z,,False,False,False,1032,1
*,The base point of a based space.,Glossary of algebraic topology,geometry_topology,primary,template,!$@,,False,False,False,16,0
<math>X_+</math>,"For an unbased space X, X+ is the based space obtained by adjoining a disjoint base point.",Glossary of algebraic topology,geometry_topology,primary,template,!$@,,False,False,False,19,0
absolute neighborhood retract,An absolute neighborhood retract is used as an alternative to a CW-complex as a nice space (the homotopy type of an ANR and that of a CW-complex are the same).,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,27,1
abstract,Abstract homotopy theory,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,30,0
Adams,John Frank Adams.,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,33,1
Alexander duality,Alexander duality,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,40,1
Alexander trick,"The Alexander trick produces a section of the restriction map $\operatorname{Top}(D^{n+1}) \to \operatorname{Top}(S^n)$, Top denoting a homeomorphism group; namely, the section is given by sending a homeomorphism $f: S^n \to S^n$ to the homeomorphism :$\widetilde{f}: D^{n+1} \to D^{n+1}, \, 0 \mapsto 0, 0 \ne x \mapsto |x|f(x/|x|)$. This section is in fact a homotopy inverse.",Glossary of algebraic topology,geometry_topology,primary,template,A,,False,True,False,43,2
Analysis Situs,Analysis Situs.,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,48,1
annulus,The annulus theorem.,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,51,1
approximate fibration,"An approximate fibration, a generalization of a fibration and a projection in a locally trivial bundle.",Glossary of algebraic topology,geometry_topology,primary,template,A,approximate fibration,False,False,False,54,1
aspherical space,Aspherical space,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,58,1
assembly map,Michael Atiyah.,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,61,1
Atiyah,Michael Atiyah.,Glossary of algebraic topology,geometry_topology,primary,template,A,,False,False,False,63,1
bar construction,"A pair (X, x0) consisting of a space X and a point x0 in X.",Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,74,0
based space,"A pair (X, x0) consisting of a space X and a point x0 in X.",Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,76,0
Betti number,See Betti number.,Glossary of algebraic topology,geometry_topology,primary,template,B,,True,False,False,79,1
Bing–Borsuk conjecture,See Bing–Borsuk conjecture.,Glossary of algebraic topology,geometry_topology,primary,template,B,,True,False,False,81,1
Bockstein homomorphism,Borel conjecture.,Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,84,1
Borel,Borel conjecture.,Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,86,1
Borel–Moore homology,Raoul Bott.,Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,89,1
Borsuk's theorem,Raoul Bott.,Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,91,1
Bott,Raoul Bott.,Glossary of algebraic topology,geometry_topology,primary,template,B,,False,False,False,93,1
Brouwer fixed-point theorem,The Brouwer fixed-point theorem says that any map $f: D^n \to D^n$ has a fixed point.,Glossary of algebraic topology,geometry_topology,primary,template,B,,False,True,False,98,1
cap product,Casson invariant.,Glossary of algebraic topology,geometry_topology,primary,template,C,,False,False,False,106,1
Casson,Casson invariant.,Glossary of algebraic topology,geometry_topology,primary,template,C,,False,False,False,108,1
Čech cohomology,A map ƒ:X→Y between CW complexes is cellular if $f(X^n) \subset Y^n$ for all n.,Glossary of algebraic topology,geometry_topology,primary,template,C,,False,True,False,111,1
cellular,A map ƒ:X→Y between CW complexes is cellular if $f(X^n) \subset Y^n$ for all n.,Glossary of algebraic topology,geometry_topology,primary,template,C,,False,True,False,113,1
chain homotopy,"Given chain maps $f, g: (C, d_C) \to (D, d_D)$ between chain complexes of modules, a chain homotopy s from f to g is a sequence of module homomorphisms $s_i: C_i \to D_{i+1}$ satisfying $f_i - g_i = d_D \circ s_i + s_{i-1} \circ d_C$. It is also called a homotopy operator.",Glossary of algebraic topology,geometry_topology,primary,template,C,,False,True,False,118,2
chain map,"A chain map $f: (C, d_C) \to (D, d_D)$ between chain complexes of modules is a sequence of module homomorphisms $f_i: C_i \to D_i$ that commutes with the differentials; i.e., $d_D \circ f_i = f_{i-1} \circ d_C$.",Glossary of algebraic topology,geometry_topology,primary,template,C,,False,True,False,121,0
